,FLIGHTS,PRICE
0,Manila to Bacolod v.v.,As low as PHP 588
1,Manila to Bohol (Tagbilaran) v.v.,As low as PHP 588
2,Manila to Boracay (Caticlan) v.v.,As low as PHP 588
3,Manila to Butuan v.v.,As low as PHP 588
4,Manila to Cagayan De Oro v.v.,As low as PHP 588
5,Manila to Cebu v.v.,As low as PHP 588
6,Manila to Coron (Busuanga) v.v.,As low as PHP 588
7,Manila to Cotabato v.v.,As low as PHP 588
8,Manila to Davao v.v.,As low as PHP 588
9,Manila to Dipolog v.v.,As low as PHP 588
10,Manila to Dumaguete v.v.,As low as PHP 588
11,Manila to General Santos v.v.,As low as PHP 588
12,Manila to Iloilo v.v.,As low as PHP 588
13,Manila to Kalibo v.v.,As low as PHP 588
14,Manila to Legazpi v.v.,As low as PHP 588
15,Manila to Ozamiz v.v.,As low as PHP 588
16,Manila to Pagadian v.v.,As low as PHP 588
17,Manila to Puerto Princesa v.v.,As low as PHP 588
18,Manila to Roxas v.v.,As low as PHP 588
19,Manila to Siargao v.v.,As low as PHP 588
20,Manila to Tacloban v.v.,As low as PHP 588
21,Manila to Zamboanga v.v.,As low as PHP 588
22,Manila to Laoag v.v.,"As low as PHP 1,188"
23,Manila to Basco (Batanes) v.v.,"As low as PHP 2,788"
24,Clark to Bacolod v.v.,As low as PHP 388
25,Clark to Antique (San Jose) v.v.,As low as PHP 388
26,Clark to Boracay (Caticlan) v.v.,As low as PHP 388
27,Clark to Cebu v.v.,As low as PHP 388
28,Clark to Davao v.v.,As low as PHP 388
29,Clark to Puerto Princesa v.v.,As low as PHP 388
30,Clark to San Vicente (Gateway to El Nido) v.v.,As low as PHP 388
31,Clark to Coron (Busuanga) v.v.,As low as PHP 988
32,Clark to Siargao v.v.,"As low as PHP 1,088"
33,Clark to Calbayog v.v.,"As low as PHP 1,788"
34,Clark to Catarman v.v.,"As low as PHP 1,888"
35,Clark to Basco (Batanes) v.v.,"As low as PHP 1,888"
36,Cebu to Bacolod v.v.,As low as PHP 388
37,Cebu to Boracay (Caticlan) v.v.,As low as PHP 388
38,Cebu to Butuan v.v.,As low as PHP 388
39,Cebu to Cagayan De Oro v.v.,As low as PHP 388
40,Cebu to Camiguin v.v.,As low as PHP 388
41,Cebu to Coron (Busuanga) v.v.,As low as PHP 388
42,Cebu to Davao v.v.,As low as PHP 388
43,Cebu to Dipolog v.v.,As low as PHP 388
44,Cebu to General Santos v.v.,As low as PHP 388
45,Cebu to Iloilo v.v.,As low as PHP 388
46,Cebu to Legazpi v.v.,As low as PHP 388
47,Cebu to Ozamiz v.v.,As low as PHP 388
48,Cebu to Puerto Princesa v.v.,As low as PHP 388
49,Cebu to Siargao v.v.,As low as PHP 388
50,Cebu to Tacloban v.v.,As low as PHP 388
51,Cebu to Zamboanga v.v.,As low as PHP 388
52,Davao to Bohol (Tagbilaran) v.v.,As low as PHP 388
53,Davao to Iloilo v.v.,As low as PHP 388
54,Davao to Zamboanga v.v.,As low as PHP 388
55,Davao to Siargao v.v.,As low as PHP 588
56,Iloilo to General Santos v.v.,As low as PHP 388
